,Country,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_22,LOCC_23,LOCC_24,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
41,Cote d'Ivoire,6.6,6.7,6.5,4.4,5.8,6.0,8.3,6.5,0.8,5.6,7.1,5.2,4.2,5.35,2.7,4.3,5.8,0.4,6.0,6.6,6.3,6.5,6.1,6.8,1.25,9.6,6.9,5.3,5.6,5,5.6,High
42,Croatia,2.4,0.3,3.5,5.6,1.1,1.3,1.3,1.6,0.8,0.9,1.2,0.1,1.7,0.55,8.1,7.6,5.6,9.6,3.1,3.5,4.7,5.3,4.1,2.1,0.95,4.4,0.1,2.6,2.7,2.5,3.5,Medium
43,Cuba,2.9,1.0,3.8,4.4,1.6,2.7,2.4,4.2,1.6,0.4,0.0,0.4,0.8,0.4,6.4,6.7,4.5,7.2,3.0,3.5,5.4,5.2,5.5,1,0,1.8,0.4,2.5,0,5,3.4,Low
44,Cyprus,2.9,0.1,4.3,4.4,2.9,0.8,0.5,1.7,0.4,4.5,9.0,0.1,3.1,0.8,5.6,6.9,4.4,5.6,2.8,3.1,3.7,4.2,3.2,2.5,1.7666666666666666,2.5,0.1,2.55,2.6,2.5,3.3,Low
45,Czechia,2.8,0.1,4.1,5.3,0.8,0.4,0.2,1,0.3,1.2,2.3,0.1,1.6,0.6000000000000001,7.8,6.8,5.3,9.6,2.7,2.5,3.8,4.4,3.2,0.9,1,1.7,0,2.9,3.3,2.5,3.4,Low
46,Denmark,2.9,0.0,4.3,4.8,1.2,0.2,0.0,0.7,0.1,2.1,5.2,0.1,1.4,0.7,7.1,8.2,2.7,8.8,0.7,1.2,1.3,1.3,1.3,1.1,0.7999999999999999,0,0,0.2,0.4,0,2.1,Low
47,Djibouti,5.4,4.1,6.0,4.6,5.6,6.3,8.1,4.2,4.9,4.7,6.1,2.4,5.1,4.7,3.3,3.7,6.3,1.6,6.8,6.7,6.9,7,6.8,6.5,4.5,9.8,2.8,6.9,6.3,7.5,5.5,High
48,Dominica,3.9,1.6,5.0,4.0,2.3,3.4,3.5,3.4,3.1,1.0,0.0,0.6,2.3,1.0,5.3,6.4,4.1,5.3,4.8,5.5,5.1,4.5,5.6,5.9,2.25,8.2,5.9,4,3,5,4.2,Medium
49,Dominican Republic,4.2,2.3,5.1,3.5,2.7,3.6,3.8,5.6,1.0,1.6,0.0,1.3,3.1,1.75,4.2,5.5,6.4,2.4,5.5,5.8,6.5,7.2,5.8,4.9,4.2,7,1.1,5.1,5.2,5,4.3,Medium
50,Ecuador,3.5,1.4,4.6,3.6,3.4,3.4,3.8,5.1,0.8,3.3,6.0,0.7,2.9,2.6,3.7,4.3,6.4,2,4.6,5.2,5.9,6.2,5.5,4.3,3.1,7,0.7,3.85,2.7,5,3.9,Medium
